ym,rc1,n_all,n_card,s_fare,s_extra,s_mta,s_imp,s_cs,s_cbd,s_air,s_tolls,s_ptt,s_tip
2024-01,1,2617462,2182699,34367272.60999887,3496335.8999999994,1090601.5,2182515.700000001,5226839.5,0,207298.0,654809.6900001693,45948560.09999526,8212505.170000413
2024-01,,136691,0,,,,,,,,,,
2024-02,0,147741,126411,7873430.909999981,132361.5,53389.75,126279.20000000001,182050.0,0,98976.5,606297.6800001394,9028588.039996825,1319103.8700000062
2024-02,1,2623272,2212554,35217688.790000476,3586760.4899999993,1105351.5,2212244.700000002,5317105.0,0,195403.25,669271.7600001742,47013213.58999637,8368373.630000673
2024-02,,177575,0,,,,,,,,,,
2024-03,0,187904,160472,10046265.689999957,164064.64,68220.05,160307.7,233930.0,0,129501.75,787467.3000001938,11534541.229995726,1694060.0899999305
2024-03,1,2906158,2432947,39813952.42000097,3993959.5399999963,1215438.5,2432584.700000003,5836818.0,0,238066.5,827649.3000002243,52928449.459995255,9421899.590001065
2024-03,,401558,0,,,,,,,,,,
2024-04,0,191405,162307,10143640.709999962,168734.6,68552.0,162073.80000000002,231900.0,0,127450.25,789953.7600001942,11640647.36999571,1690649.1499999203
2024-04,1,2852537,2389819,39552767.62000002,4013719.309999997,1194087.5,2389571.100000004,5725624.5,0,241527.0,816636.4100002213,52517446.93999365,9355345.610001048
2024-04,,384360,0,,,,,,,,,,
2024-05,0,206672,175001,11109045.399999954,183029.12,72867.55,138682.5,251627.5,0,136871.75,863105.4100002043,12698676.079995796,1859965.6099998849
2024-05,1,3044499,2549227,43488925.27000025,4320270.960000001,1273770.5,2549001.2000000034,6107105.0,0,266827.25,907592.320000239,57393585.84999272,10175348.700000752
2024-05,,381146,0,,,,,,,,,,
2024-06,0,193862,165004,10548462.099999962,172970.18,67866.0,132241.3,238350.75,0,132038.25,810822.7500002007,12047285.029995667,1758397.4599999036
2024-06,1,2867553,2401676,40502182.310000755,3979320.7199999997,1200055.53,2401472.4000000022,5752877.02,0,249344.5,840755.5800002303,53508754.08999395,9429159.240001086
2024-06,,387199,0,,,,,,,,,,
2024-07,0,198747,168715,10554527.589999974,171482.72999999998,69953.5,130887.20000000001,233847.5,0,137373.25,789580.240000196,12036283.209998423,1677611.4199998593
2024-07,1,2531065,2080478,35033002.76999936,3438928.0999999996,1039776.5,2080275.5000000014,4946432.5,0,239877.75,706940.4800001866,46300339.949995264,8094101.510000418
2024-07,,264320,0,,,,,,,,,,
2024-08,0,201378,170695,10647517.319999974,166930.47999999998,70014.25,131968.2,230222.5,0,134016.75,786542.8400001932,12118552.539998459,1670838.6999998726
2024-08,1,2448362,2002298,33821643.05999888,3286449.4900000007,1000675.5,2002102.0000000019,4743287.5,0,238915.25,713009.9300001883,44690325.97999515,7793038.310000401
2024-08,,249353,0,,,,,,,,,,
2024-09,0,212046,182233,11751263.679999974,190767.97999999998,74099.3,149693.90000000002,270170.0,0,153698.5,896264.0700002265,13426535.629997946,1976884.769999743
2024-09,1,2862469,2418978,42443900.26000111,3980012.96,1208839.85,2418762.700000002,5776976.0,0,255938.75,850181.9500002319,55537427.96999523,9736095.250000948
2024-09,,451484,0,,,,,,,,,,
2025-01,0,170361,148230,8925045.829999972,147261.44,60829.25,111775.0,197710.0,46844.25,108016.75,664158.1200001354,10215731.239996575,1425809.4400001708
2025-01,1,2688181,2293144,34875249.61999996,3831854.1000000006,1146228.0,2293136.0,5518415.0,1163072.25,195405.75,632373.7300001594,48143525.79999669,8572072.179999638
2025-01,,452058,0,,,,,,,,,,
2025-02,0,150653,131574,7844761.16999999,133635.4,53988.25,96747.0,171152.5,48260.25,99172.25,576266.4900001097,8981341.329997163,1246954.7800001604
2025-02,1,2548984,2201700,33710456.03999992,3755154.419999999,1100439.0,2201693.0,5302067.5,1268714.25,183867.75,601498.4300001499,46597136.1599973,8218381.240000047
2025-02,,678680,0,,,,,,,,,,
2025-03,0,196941,172378,10620832.659999976,184606.34,69555.5,132977.0,239925.0,67455.5,135423.5,786739.5200001516,12180286.239996586,1739995.78000018
2025-03,1,2944859,2528483,40159452.420000136,4244874.799999998,1263683.0,2528467.0,6078038.5,1486987.5,234882.75,794902.970000203,55157211.77999473,9718868.859999405
2025-03,,775799,0,,,,,,,,,,
2025-04,0,200224,172442,10584924.029999968,194575.51,68818.0,131698.0,234455.0,67423.5,131926.5,767231.1500001459,12127342.279996185,1718666.8500001929
2025-04,1,2934084,2511006,40487615.74000163,4236413.39,1254940.25,2511003.0,6039467.5,1463296.5,233912.25,768955.240000196,55432946.97999604,9778471.63999935
2025-04,,630757,0,,,,,,,,,,
2025-05,0,228232,197729,12515965.499999952,220546.51,78320.3,154940.3,278527.5,79716.75,161437.0,889905.3900001715,14314139.999998279,2073282.5899999607
2025-05,1,3069442,2640497,44631638.310000174,4475040.389999999,1319396.6400000001,2640489.0,6321067.5,1526097.0,280462.0,864147.6900002196,60402926.08999584,10596565.17999943
2025-05,,906941,0,,,,,,,,,,
2025-06,0,216565,189185,11779711.779999996,206417.19,75186.75,142592.0,258287.5,73450.5,153008.0,810420.4300001636,13438807.639998391,1919832.3199999793
2025-06,1,2800294,2402178,40094279.420000754,4072256.169999999,1200443.75,2402166.0,5733440.0,1406351.25,268565.5,788371.0300002084,54479120.57999607,9561859.629999386
2025-06,,1008986,0,,,,,,,,,,
