ym,v,fbin,n,mean_tip,mean_rate,zero_sh
2013-04,2,26.0,51314,4.896369411856105,0.18322936784167268,0.052851073781034416
2013-04,2,34.0,25661,6.493520127820404,0.18712947369955724,0.06394918358598652
2013-05,2,22.0,82796,4.024392361950019,0.1772076843115084,0.0479491762887096
2013-05,2,24.0,67349,4.443922552673312,0.17973108848249347,0.05138903324474008
2013-05,2,14.0,272277,2.6334631643510757,0.17921720678917152,0.0329921366843325
2013-05,2,40.0,143307,8.835501196730943,0.1770316341544332,0.08365257803177793
2013-05,1,32.0,33028,6.601196560494083,0.20178357480835737,0.04190383916676759
2013-05,1,20.0,106880,3.7371469872753345,0.1804980443492329,0.03163360778443114
2013-05,2,4.0,478594,1.1026003460129992,0.2249176633463163,0.03670334354379704
2013-05,2,26.0,56295,4.899590194510745,0.1832971751607386,0.05229594102495781
2013-05,2,34.0,28109,6.4847337151801305,0.18681569407378232,0.06819879753815504
2013-05,1,24.0,64936,4.659303622027909,0.18844360430668022,0.037852654921769126
2013-05,1,22.0,81454,4.152023596139939,0.18281142808686385,0.03511184226680089
2013-05,2,18.0,145001,3.3273971903643904,0.17788287611462214,0.038337666636781814
2013-05,1,16.0,191274,3.0344883256476383,0.18168555722545768,0.02387674226502295
2013-05,1,30.0,40587,6.225209057087003,0.2026253291716743,0.03897799788109493
2013-05,1,28.0,46573,5.759413608742768,0.20042038284478733,0.038777832649818565
2013-05,1,6.0,728061,1.4443581650432633,0.21428741509194998,0.018911876889436463
2013-05,1,4.0,479592,1.177851694773349,0.24050329240532267,0.02306543895644631
2013-05,2,20.0,108697,3.65828017332568,0.17671431830871268,0.04416865230871137
2013-05,1,26.0,54362,5.223991207092936,0.19543284341333297,0.03743423715095103
2013-05,1,34.0,25914,6.968780967816669,0.20076913489730827,0.04580535617812765
2013-05,2,8.0,675037,1.6842231462873507,0.19321781083543738,0.029063592069768027
2013-05,2,12.0,382545,2.307094041222637,0.18174612722312897,0.031651178292749875
2013-05,1,10.0,522954,2.0510082148719206,0.19173103645126113,0.01953135457420729
2013-05,1,38.0,14724,7.584026759032812,0.19595756151287969,0.05141265960336865
2013-05,1,18.0,142686,3.3855855514906312,0.18101280684650298,0.027052408785725297
2013-05,2,16.0,194281,2.970009831121325,0.177824178298222,0.03533541622701139
2013-05,2,28.0,48976,5.3486801698788735,0.18613254868218307,0.05378144397255799
2013-05,2,30.0,42760,5.771829513564278,0.1878591469391484,0.05886342376052386
2013-05,2,36.0,21435,6.807452297643878,0.18547638571311334,0.06675997200839748
2013-05,1,14.0,268933,2.688797879024514,0.18299750660097042,0.023121000397868616
2013-05,1,40.0,127020,9.278669500870578,0.1861321775324289,0.05699889781136829
2013-05,2,32.0,35740,6.150042809177729,0.18793639241687837,0.05833799664241746
2013-05,2,6.0,730501,1.3795799731975986,0.20455636020080187,0.030517412022707704
2013-05,1,8.0,669103,1.7392827412233074,0.19957248095852623,0.018091385033395458
2013-05,1,12.0,378224,2.3627873693884265,0.1861072054826413,0.020953191759380683
2013-05,2,10.0,529603,1.9890964741504136,0.185947329695272,0.030286837499032295
2013-05,2,38.0,16200,7.139362345679025,0.1844894541316184,0.07314814814814814
2013-05,1,36.0,19613,7.313815836435046,0.19928542601749427,0.047009636465609544
